remedy,symptom_text,body_part,modality,source_book,severity,confidence_hint
Helleborus Niger,"i have weakly, delicate,, psoric children; prone to brain troubles (bell.,",,,,,
Bismuth,"it gets worse when gagging and inexpressible pain, after laprotomy (nux, staph.)",,,,,
Graphites,"it hurts when crumbling, deformed (ant",,,,,
Cannabis Sativa,tearing pains along urethra in a zigzag,general,not specified,Allen,moderate,0.8
Sulph,i am experiencing aggravates the symptoms (arg,,,,,
Hamamelis Virginica,i feel of blood (cinch.),,,,,
Pa,having the sick ever given the medical profession lately,,,,,
Lyssin,"ziemsen suggested lyssin as a substitute for hydrophobinum,",general,not specified,Allen,moderate,0.8
Nux Vomica,"having strangulated hernia, especially umbilical lately",,,,,
Very much inclined to take cold,"i noticed s., phos., stan",,,,,
Causticum,"having (caul., gels., graph lately",,,,,
Calcarea Ostrearum,"i am experiencing or other diseases brought on by standing on cold, damp pavements,",,,,,
Picric Acid,"i feel softening of cord (phos., zinc.)",,,,,
Cannabis Sativa,suffering from sensation as of drops of water falling on or from single parts; on,,,,,
Staphisagria,"lids, one after another, leaving hard nodosities in their wake (con.,",general,not specified,Allen,moderate,0.8
Sulphur,"i have worms, but the best selected remedy fails",,,,,
Physostigma,suffering from impaired locomotion (gels.),,,,,
Psorinum,it gets worse when overcoat or shawl even in hottest summer weather,,,,,
Carbo Vegetabilis,force exhausted,general,not specified,Allen,moderate,0.8
Muratic Acid,"i noticed black or dark base; offensive, foul breath; intense prostration;",,,,,
Cocculus,"i feel girls with irregular menstruation; rakes, onanists and persons",,,,,
Iodum,"c., con., phos.)",general,not specified,Allen,moderate,0.8
Cyclamen Europaeum,"accompanied by vertigo, headache, dim vision",general,not specified,Allen,moderate,0.8
Conium Maculatum,my problem is turning the head to the left (col.); of old people; with ovarian and,,,,,
Petroselinum,"suffering from thirsty and hungry, yet as soon as they begin to eat or",,,,,
Headache and diarrhoea from jarring of ears,"i am experiencing intense menstrual colic,",,,,,
Lac Caninum,my problem is menses; too early; too profuse; flow in,,,,,
Natrum Sulphuricum,"i feel chronic or suppressed (thick, green, kali iod.)",,,,,
Nux Vomica,patent medicines; sitting on cold stones; specially in warm,general,not specified,Allen,moderate,0.8
Causticum,"i have coughing, sneezing, blowing the nose (puls., squil., ver.)",,,,,
Baryta Carbonica,i noticed diseases of old men; hypertrophy or induration of,,,,,
Natrum Carbonicum,i feel discharge of mucus from,,,,,
Sepia,having the neck felt too tight and were constantly loosened (lach.) lately,,,,,
Antimony Crudum,it hurts when aversion to cold bathing; child cries,,,,,
Ipecacuanha,"having intermittent dyspepsia, every other day at same hour; fever, with lately",,,,,
Borax,"i noticed nostril, or first right then left with constant blowing of nose (am",,,,,
Aloe Socotrina,"having itch appears each year, as winter approaches (psor.) lately",,,,,
Alumina,having time passes too slowly; an hour seems half a day (can lately,,,,,
Drosera Rotundifolia,"relieves the constant, distressing night-cough in tuberculosis",general,not specified,Allen,moderate,0.8
Sec,i noticed note for thought,,,,,
Selenium,"my problem is with long-continued threill; weak, ill-humored after coitus, often",,,,,
Mercurius,"having diphtheria: tonsils inflamed, uvula swollen, elongated, constant lately",,,,,
Bismuth,"it hurts when deathly pale, blue rings around the eyes",,,,,
Natrum Sulphuricum,i noticed pernicious; recovers slowly from every sickness,,,,,
Syphillinum,"i am experiencing craving alcohol, in any form",,,,,
Rhus Toxicodendron,i have part of limbs during stool,,,,,
Pyrogen,a product of sepsis,general,not specified,Allen,moderate,0.8
Carbo Animalis,my problem is pieces; has to sit up at night and hold it together,,,,,
Cannabis Indica,it gets worse when as it the cavarium was opening and shutting (act.),,,,,
Acetic Acid,"belching and vomiting of pregnancy, burning water-brash and",general,not specified,Allen,moderate,0.8
Psorinum,my problem is or apparent cause,,,,,
Mezereum,"i feel when biting on them and when touched with tongue, < at night; >",,,,,
Spongia Tosta,it gets worse when suddenly after midnight with suffocation and great anxiety;,,,,,
Tabacum,i am experiencing icy coldness of surface; covered with cold,,,,,
Tartar Emetic,having - cold open air; sitting upright; expectorating; lying lately,,,,,
Phosphorus,it hurts when hot or cold,,,,,
Mezereum,i feel offensive and breeds vermin,,,,,
Nitric Acid,i noticed dearest friend; indifference; tired of life; sadness before menses,,,,,
Syphillinum,is clearly indicated,general,not specified,Allen,moderate,0.8
Helonias Dioica,"it hurts when alet., in debility from prolapsus, protracted illness, defective",,,,,
Cactus Grandiflorus,it gets worse when returns at 11 a,,,,,
Lyssin,i noticed convulsions: from dazzling or reflected light from water or,,,,,
Hypericum Perforatum,"having and corns when pain is excruciating, showing nerve involvement lately",,,,,
Murex Purpurea,"compare: lil., plat., in nymphomania; sep",general,not specified,Allen,moderate,0.8
Capsicum,"my problem is escapes a volume of pungent, fetid air",,,,,
Hamamelis Virginica,"suffering from nosebleed: flow passive, long-lasting, blood non-coagulable",,,,,
Eupatorium Perfoliatum,i have attacks of bilious or intermittent fevers,,,,,
Tabacum,"it gets worse when vertigo: death-like pallor, increases to loss of",,,,,
Ambra Grisea,"it hurts when the presence of others,",,,,,
Ruta Graveolens,it gets worse when phthisis after mechanical injuries to chest,,,,,
Headache and diarrhoea from jarring of ears,i noticed nocturnal enuresis: passes enormous quantity of,,,,,
Ruta Graveolens,"bones and periosteum; sprains; periostits; erysipelas; fractures, and",general,not specified,Allen,moderate,0.8
Bromium,"it hurts when membrane forms in pharynx; beginning in bronchi, trachea or",,,,,
Cicuta Virosa,compression of the jaws as in lockjaw,general,not specified,Allen,moderate,0.8
Platina,having metrorrhagia: flow in black clots and lately,,,,,
Caulophyllum,"i am experiencing labor; spasmodic, across lower abdomen; extend into groins (in the",,,,,
Silicea,"i am experiencing fatigue, cannot bear to think",,,,,
Antimony Crudum,it gets worse when sensitive to the cold,,,,,
Argentum Metallicum,"i have downward (right ovary, pal.); climacteric haemorrhage",,,,,
Helleborus Niger,"my problem is with the finger (while perfectly conscious, arum.)",,,,,
Spongia Tosta,i have commences to rattle,,,,,
Dulcamara,my problem is dropsy: after suppressed sweat; suppressed eruptions; exposure to,,,,,
Cyclamen Europaeum,"it hurts when sitting, standing or walking in open air (agar., caust., val., phyt.)",,,,,
Acetic Acid,it gets worse when antidotes carbolic acid,,,,,
Ignatia,physically exhausted by long-concentrated grief,general,not specified,Allen,moderate,0.8
Alumina,suffering from eating potatoes; after eating soups; on alternate days; at new and,,,,,
Stramonium,"it gets worse when and hyos., yet differs in degree",,,,,
Calcarea Ostrearum,having and sulph.; may produce unnecessary lately,,,,,
Pa,i have it is all-important that the first step in the study of,,,,,
Alumina,"covered with mucus; of soft, clayey, adhering to parts (plat.)",general,not specified,Allen,moderate,0.8
Argentum Nitricum,i am experiencing unusual mental exertion,,,,,
Causticum,grease; in children and nocturnal enuresis,general,not specified,Allen,moderate,0.8
Bacillinum,it gets worse when tuberculosis had been found microscopically; hence the former was,,,,,
Rumex Crispus,i feel head with bedclothes to make air warmer; little or no,,,,,
Aethusa Cynapium,"my problem is the mouth, jaws locked; pulse small, hard, quick",,,,,
Phosphorus,"i have nervous, weak;",,,,,
Caulophyllum,"it hurts when chorea, hysteria or epilepsy at puberty,",,,,,
Natrum Carbonicum,it hurts when easy dislocation and,,,,,
Mercurius Dulcis,"i feel catarrhal affections of mucous membranes, especially of the eye",,,,,
Opium,unrecognized.),general,not specified,Allen,moderate,0.8
Crotalus Horridus,malignant diphtheria or scarlatina; oedema or,general,not specified,Allen,moderate,0.8
Aesculus Hippocastanum,"motion; backache and soreness, by walking and",general,not specified,Allen,moderate,0.8
Agaricus Muscarius,"i have fever or with pain (bell.); of persons subject to chorea, twitchings",,,,,
Psorinum,"it gets worse when simplex, rosacea; < during menses, from coffee, fats, sugar, meat;",,,,,
Medorrhinum,"i feel state of collapse, want to be fanned all",,,,,
Bryonia Alba,rheumatic pains of chest,general,not specified,Allen,moderate,0.8
Silicea,"adapted to the nervous, irritable, sanguine temperament; persons",general,not specified,Allen,moderate,0.8
Calcarea Ostrearum,having in nasal catarrh lately,,,,,
Abrotanum,i am experiencing with children; unable to stand,,,,,
Lachesis,i have poison wounds; post-mortem (pyr.),,,,,
Thuja Occidentalis,"it gets worse when walking or riding, must sit or lie down (croc., ust.); worse at each",,,,,
Acetic Acid,"i am experiencing belching and vomiting of pregnancy, burning water-brash and",,,,,
Nux Moschata,"it hurts when changes; cold food, water and cold washing; carriage driving",,,,,
Cuprum Metallicum,my problem is copper (cn),,,,,
Spigelia,"i am experiencing from morning until sunset; pain tearing, burning, cheek dark red;",,,,,
Podophyllum,my problem is with great loquacity during chill and,,,,,
Borax,"i am experiencing (apis, cina, stram.)",,,,,
Chamomilla,"having milk, during menses lately",,,,,
Tabacum,"i have vomiting; < by noise and light; periodical, lasting one or two days",,,,,
Pa,i am experiencing central modality or principle as the aggravation of,,,,,
Lachesis,having ailments from long lasting grief; lately,,,,,
Carbo Vegetabilis,i feel haemorrhage from any mucous outlet; in systems,,,,,
Agaricus Muscarius,"suffering from and feet; parts red, swollen, hot",,,,,
Alumina,"having disposition; hypochondriacs; dry, tettery, itching eruption, worse in lately",,,,,
Psorinum,"it gets worse when asthma, dyspnoea: < in open air,",,,,,
Skimmed Milk,"i feel of a large ball rising from stomach to throat, causing sense of",,,,,
Ammonium Muriaticum,i noticed - followed: by ant,,,,,
Nux Vomica,"daybreak from which he is hard to arouse, and then feels tired and",general,not specified,Allen,moderate,0.8
Phytolacca,"i noticed position between bryonia and rhus; cures when these fail, though",,,,,
Belladonna,"violent delirium; disposition to bite,",general,not specified,Allen,moderate,0.8
Thuja Occidentalis,suffering from - at night; from heat of bed; at 3 a,,,,,
Podophyllum,my problem is fever paroxysm at 7 a,,,,,
Benzoic Acid,"i noticed liquid stools, running ""right through the diaper"" (pod.); urine",,,,,
Pa,it hurts when peculiar to his profession,,,,,
Chamomilla,my problem is amelioration,,,,,
Skimmed Milk,"i feel menses: delayed; suppressed, by putting hands in cold water",,,,,
Thuja Occidentalis,"my problem is dryness, lyc., lys., natr.)",,,,,
Tabacum,suffering from intermittent pulse,,,,,
Podophyllum,it hurts when thirst for large quantities of cold water (bry.),,,,,
Borax,"before or after, acetic acid, vinegar, wine",general,not specified,Allen,moderate,0.8
Argentum Metallicum,"i have laughing excites cough (dros., phos.,",,,,,
Lobelia Inflata,i am experiencing dyspnoea threatening suffocation,,,,,
Rhus Toxicodendron,having assume a typhoid form lately,,,,,
Tartar Emetic,it hurts when but > after vomiting,,,,,
Nux Moschata,"my problem is next crying (croc., ign.); ""sudden change from grave to gay, from",,,,,
Helonias Dioica,sensation of soreness and heaviness in,general,not specified,Allen,moderate,0.8
Secale Cornutum,"it hurts when burning; in all parts of the body, as if",,,,,
Kali Bichromicum,suffering from adheres to the parts and can be drawn into long strings,,,,,
Acetic Acid,i am experiencing charcoal and gas; opium and stramonium,,,,,
Natrum Carbonicum,my problem is often ceasing after a meal,,,,,
Equisetum Hyemale,my problem is ascertainable cause,,,,,
Arnica Montana,unconsciousness; when,general,not specified,Allen,moderate,0.8
Silicea,it hurts when fistula lachymalis;,,,,,
Lilium Tigrinum,"it hurts when recovery after labor; nearly always with constipation, from",,,,,
Ratanhia,it hurts when (sulph.); bowels inactive; pain after stool as if splinters of glass,,,,,
Psorinum,i have return in winter,,,,,
Sabadilla,"it hurts when nervous diseases; twitching, convulsive tremblings,",,,,,
Valeriana,"i have (bell.); when straightening out limb, during rest from previous",,,,,
Pa,select the simillinum,general,not specified,Allen,moderate,0.8
Colocynthis,i am experiencing - < by bending,,,,,
Arnica Montana,"i am experiencing search of a soft spot (the parts rested upon feel sore and bruised,",,,,,
Ferrum Metallicum,"it gets worse when descending (bor., sanic.)",,,,,
Hyoscyamus Niger,"my problem is jealousy, unhappy love; when lying down",,,,,
Alumina,eating (psor.); in wet weather (caust.),general,not specified,Allen,moderate,0.8
Headache and diarrhoea from jarring of ears,of bowels with ball-like stools (lach.),general,not specified,Allen,moderate,0.8
Helleborus Niger,i feel encephalique,,,,,
Nitric Acid,it gets worse when in morbid fear of cholera,,,,,
Phosphoric Acid,i feel p.); pains in back and limbs as if beaten,,,,,
Spongia Tosta,"it hurts when vomiting; in the morning; from the odor of cooking food (ars.,",,,,,
Sulphur,"having dirty, filthy people, prone to skin affections lately",,,,,
Fluoric acid,"i feel aneurism (compare, cal",,,,,
Calcarea Arsenica,"- compare: con., glon., lith",general,not specified,Allen,moderate,0.8
Opium,it hurts when especially adapted to children and old people; diseases of first and,,,,,
Pulsatilla,"having thought of port causes disgust; ""bad taste"" in the morning lately",,,,,
Tartar Emetic,"i feel and red edges; red in streaks; very red, dry in the middle;",,,,,
Veratrum Album,suffering from violent vomiting with profuse diarrhoea,,,,,
